sourceType,sourceId,entityName,executionMode,layer,facet,surface,controlled,modality,evidenceSource,evidenceQuote,confidence,refutation,gateWarnings,reviewerDecision,correctedSurface,correctedControlled,reviewerNote
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,Σ,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊な磁性、物質の表面に特徴的な電子状態が現れる仕組みを、理論と数理モデルから研究する研究室。,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,IS,電子同士が強く影響し合う物質で,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,IS,電気抵抗が消える超伝導や特殊な磁性,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,IS,理論と数理モデルから研究する研究室,,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,Q,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が現れるのか？,,asserted,labs.json#sample-lab-41461c2ec17b:researchQuestions,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,Q,多数の電子の動きを数理モデルで表すと、まだ知られていない物質の状態をどのように予測できるのか？,,asserted,labs.json#sample-lab-41461c2ec17b:researchQuestions,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,M,理論的分析,理論研究,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-41461c2ec17b,強相関系理論（藤本研究室）,RAPID,EXPR,M,数理モデリング,モデリング,asserted,labs.json#sample-lab-41461c2ec17b:sections.research_summary,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,0.6,,G1,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,Σ,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変えるのかを研究する研究室。,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,IS,細胞が周囲の硬さや力をどのように感じ,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,IS,形や動き,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,IS,働きを変えるのかを研究する研究室,,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,Q,細胞は周囲から受ける力を、どのように感じ取って形や動きを変えるのか？,,asserted,labs.json#sample-lab-470a48ca9298:researchQuestions,細胞は周囲から受ける力を、どのように感じ取って形や動きを変え,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,Q,細胞や分子に働く非常に小さな力を、細胞を壊さずに測るにはどのような技術が必要なのか？,,asserted,labs.json#sample-lab-470a48ca9298:researchQuestions,細胞は周囲から受ける力を、どのように感じ取って形や動きを変え,0.6,,,,,,
lab,sample-lab-470a48ca9298,分子生体計測（出口研究室）,RAPID,EXPR,M,計測,計測,asserted,labs.json#sample-lab-470a48ca9298:sections.research_summary,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,0.6,,,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,Σ,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の複雑な振る舞いをコンピュータで再現する研究室。,,asserted,labs.json#sample-lab-59f30ac6858e:sections.research_summary,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,0.6,,G1,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,IS,モータ,,asserted,labs.json#sample-lab-59f30ac6858e:sections.research_summary,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,0.6,,G1,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,IS,発電機,,asserted,labs.json#sample-lab-59f30ac6858e:sections.research_summary,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,0.6,,G1,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,IS,変圧器などの内部で生じる電磁界と,,asserted,labs.json#sample-lab-59f30ac6858e:sections.research_summary,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,0.6,,G1,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,Q,モータや変圧器の内部では、電気と磁気の作用がどのように力や熱へ変わるのか？,,asserted,labs.json#sample-lab-59f30ac6858e:researchQuestions,モータや変圧器の内部では、電気と磁気の作用がどのように力や熱,0.6,,G1,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,Q,磁性材料の複雑な性質を計算に取り入れると、電気機器の損失や性能をどこまで正確に予測できるのか？,,asserted,labs.json#sample-lab-59f30ac6858e:researchQuestions,モータや変圧器の内部では、電気と磁気の作用がどのように力や熱,0.6,,G1,,,,
lab,sample-lab-59f30ac6858e,電磁エネルギー工学（松尾研究室）,RAPID,EXPR,M,予測,予測,asserted,labs.json#sample-lab-59f30ac6858e:sections.research_summary,モータ、発電機、変圧器などの内部で生じる電磁界と、磁性材料の,0.6,,G1,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,Σ,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微鏡や分光技術で測る研究室。,,asserted,labs.json#sample-lab-4dee53c438a0:sections.research_summary,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,IS,高感度な顕微鏡や分光技術で測る研究室,,asserted,labs.json#sample-lab-4dee53c438a0:sections.research_summary,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,IS,材料の発光,,asserted,labs.json#sample-lab-4dee53c438a0:sections.research_summary,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,IS,化学反応,,asserted,labs.json#sample-lab-4dee53c438a0:sections.research_summary,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,Q,一つの分子やナノ材料は、光を受けるとどのように発光したり反応したりするのか？,,asserted,labs.json#sample-lab-4dee53c438a0:researchQuestions,一つの分子やナノ材料は、光を受けるとどのように発光したり反応,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,Q,光を非常に小さな領域へ集めると、通常は見えない分子の動きや反応をどう観察できるのか？,,asserted,labs.json#sample-lab-4dee53c438a0:researchQuestions,一つの分子やナノ材料は、光を受けるとどのように発光したり反応,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,M,分光測定,計測,asserted,labs.json#sample-lab-4dee53c438a0:sections.research_summary,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,0.6,,,,,,
lab,sample-lab-4dee53c438a0,ナノ材料光計測研究室,RAPID,EXPR,M,計測,計測,asserted,labs.json#sample-lab-4dee53c438a0:sections.research_summary,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,0.6,,,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,Σ,脳や人の行動、社会・生命現象などのデータから、観測できない内部状態や原因を確率的に推定する研究室。,,asserted,labs.json#sample-lab-40446adcb967:sections.research_summary,脳や人の行動、社会・生命現象などのデータから、観測できない内,0.6,,G1,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,IS,脳や人の行動,,asserted,labs.json#sample-lab-40446adcb967:sections.research_summary,脳や人の行動、社会・生命現象などのデータから、観測できない内,0.6,,G1,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,IS,社会・生命現象などのデータから,,asserted,labs.json#sample-lab-40446adcb967:sections.research_summary,脳や人の行動、社会・生命現象などのデータから、観測できない内,0.6,,G1,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,IS,数理モデル,,asserted,labs.json#sample-lab-40446adcb967:sections.research_summary,脳や人の行動、社会・生命現象などのデータから、観測できない内,0.6,,G1,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,Q,観測された行動や信号から、直接見えない内部状態をどのように推定するのか？,,asserted,labs.json#sample-lab-40446adcb967:researchQuestions,観測された行動や信号から、直接見えない内部状態をどのように推,0.6,,G1,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,Q,不確実さや個人差を含むデータから、現象を説明する数理モデルをどのように作るのか？,,asserted,labs.json#sample-lab-40446adcb967:researchQuestions,観測された行動や信号から、直接見えない内部状態をどのように推,0.6,,G1,,,,
lab,sample-lab-40446adcb967,大森研究室,RAPID,EXPR,M,数理モデリング,モデリング,asserted,labs.json#sample-lab-40446adcb967:sections.research_summary,脳や人の行動、社会・生命現象などのデータから、観測できない内,0.6,,G1,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,Σ,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動くことで生じる詰まりや流れを数理モデルから研究する研究室。,,asserted,labs.json#sample-lab-b51364f6513f:sections.research_summary,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,0.6,,,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,IS,道路の渋滞,,asserted,labs.json#sample-lab-b51364f6513f:sections.research_summary,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,0.6,,,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,IS,人の混雑,,asserted,labs.json#sample-lab-b51364f6513f:sections.research_summary,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,0.6,,,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,IS,生物の集団など,,asserted,labs.json#sample-lab-b51364f6513f:sections.research_summary,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,0.6,,,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,Q,一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑が生まれるのか？,,asserted,labs.json#sample-lab-b51364f6513f:researchQuestions,一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑,0.6,,,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,Q,人や車の動き方を少し変えるだけで、流れ全体を滑らかにするにはどこへ働きかければよいのか？,,asserted,labs.json#sample-lab-b51364f6513f:researchQuestions,一台の車や一人の行動が積み重なると、なぜ全体として渋滞や混雑,0.6,,,,,,
lab,sample-lab-b51364f6513f,数理創発システム（西成研究室）,RAPID,EXPR,M,数理モデリング,モデリング,asserted,labs.json#sample-lab-b51364f6513f:sections.research_summary,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,0.6,,,,,,
lab,sample-lab-46e67b3d62b0,伊井研究室,RAPID,EXPR,Σ,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、病気との関係を研究する研究室。,,asserted,labs.json#sample-lab-46e67b3d62b0:sections.research_summary,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、,0.6,,,,,,
lab,sample-lab-46e67b3d62b0,伊井研究室,RAPID,EXPR,IS,血液や脳脊髄液など,,asserted,labs.json#sample-lab-46e67b3d62b0:sections.research_summary,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、,0.6,,,,,,
lab,sample-lab-46e67b3d62b0,伊井研究室,RAPID,EXPR,IS,病気との関係を研究する研究室,,asserted,labs.json#sample-lab-46e67b3d62b0:sections.research_summary,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、,0.6,,,,,,
lab,sample-lab-46e67b3d62b0,伊井研究室,RAPID,EXPR,Q,脳の血管の形が人によって異なると、血液の流れや血管壁への力はどう変わるのか？,,asserted,labs.json#sample-lab-46e67b3d62b0:researchQuestions,脳の血管の形が人によって異なると、血液の流れや血管壁への力は,0.6,,,,,,
lab,sample-lab-46e67b3d62b0,伊井研究室,RAPID,EXPR,Q,MRIで測った流れと数値計算を組み合わせると、患者ごとの血流をどこまで正確に再現できるのか？,,asserted,labs.json#sample-lab-46e67b3d62b0:researchQuestions,脳の血管の形が人によって異なると、血液の流れや血管壁への力は,0.6,,,,,,
lab,sample-lab-46e67b3d62b0,伊井研究室,RAPID,EXPR,M,シミュレーション,シミュレーション,asserted,labs.json#sample-lab-46e67b3d62b0:sections.research_summary,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、,0.6,,,,,,
lab,sample-lab-0dca02346edd,プラズマ理工学（金子・佐々木研究室）,RAPID,EXPR,Σ,空気中で発生させたプラズマを水などの液体に接触させ、その境界で短時間に起こる化学反応を研究する研究室。,,asserted,labs.json#sample-lab-0dca02346edd:sections.research_summary,空気中で発生させたプラズマを水などの液体に接触させ、その境界,0.6,,,,,,
lab,sample-lab-0dca02346edd,プラズマ理工学（金子・佐々木研究室）,RAPID,EXPR,IS,空気と水から反応性の高い物質を作り,,asserted,labs.json#sample-lab-0dca02346edd:sections.research_summary,空気中で発生させたプラズマを水などの液体に接触させ、その境界,0.6,,,,,,
lab,sample-lab-0dca02346edd,プラズマ理工学（金子・佐々木研究室）,RAPID,EXPR,IS,細菌やウイルスの不活化,,asserted,labs.json#sample-lab-0dca02346edd:sections.research_summary,空気中で発生させたプラズマを水などの液体に接触させ、その境界,0.6,,,,,,
lab,sample-lab-0dca02346edd,プラズマ理工学（金子・佐々木研究室）,RAPID,EXPR,IS,植物への窒素供給,,asserted,labs.json#sample-lab-0dca02346edd:sections.research_summary,空気中で発生させたプラズマを水などの液体に接触させ、その境界,0.6,,,,,,
lab,sample-lab-0dca02346edd,プラズマ理工学（金子・佐々木研究室）,RAPID,EXPR,Q,プラズマが水と触れる境界では、どのような反応性の高い物質が生まれるのか？,,asserted,labs.json#sample-lab-0dca02346edd:researchQuestions,プラズマが水と触れる境界では、どのような反応性の高い物質が生,0.6,,,,,,
lab,sample-lab-0dca02346edd,プラズマ理工学（金子・佐々木研究室）,RAPID,EXPR,Q,プラズマで作る物質の種類や量を制御すると、滅菌・農業・材料合成へどのように使い分けられるのか？,,asserted,labs.json#sample-lab-0dca02346edd:researchQuestions,プラズマが水と触れる境界では、どのような反応性の高い物質が生,0.6,,,,,,
lab,sample-lab-90b4b3a37829,環境・エネルギー工学（成瀬研究室）,RAPID,EXPR,Σ,燃料や廃棄物を燃やすときに起こる熱・流れ・化学反応を研究し、エネルギーを効率よく取り出しながら環境への負荷を減らす方法を開発する研究室。,,asserted,labs.json#sample-lab-90b4b3a37829:sections.research_summary,燃料や廃棄物を燃やすときに起こる熱・流れ・化学反応を研究し、,0.6,,,,,,
lab,sample-lab-90b4b3a37829,環境・エネルギー工学（成瀬研究室）,RAPID,EXPR,IS,燃焼,,asserted,labs.json#sample-lab-90b4b3a37829:sections.research_summary,燃料や廃棄物を燃やすときに起こる熱・流れ・化学反応を研究し、,0.6,,,,,,
lab,sample-lab-90b4b3a37829,環境・エネルギー工学（成瀬研究室）,RAPID,EXPR,IS,エネルギー,,asserted,labs.json#sample-lab-90b4b3a37829:sections.research_summary,燃料や廃棄物を燃やすときに起こる熱・流れ・化学反応を研究し、,0.6,,,,,,
lab,sample-lab-90b4b3a37829,環境・エネルギー工学（成瀬研究室）,RAPID,EXPR,Q,燃料の種類や燃やし方を変えると、炎・熱・排出物はどのように変化するのか？,,asserted,labs.json#sample-lab-90b4b3a37829:researchQuestions,燃料の種類や燃やし方を変えると、炎・熱・排出物はどのように変,0.6,,,,,,
lab,sample-lab-90b4b3a37829,環境・エネルギー工学（成瀬研究室）,RAPID,EXPR,Q,エネルギーを効率よく取り出しながら、有害物質や二酸化炭素を減らす燃焼条件をどう設計するのか？,,asserted,labs.json#sample-lab-90b4b3a37829:researchQuestions,燃料の種類や燃やし方を変えると、炎・熱・排出物はどのように変,0.6,,,,,,
lab,sample-lab-f0e46eb2cbf5,有機合成化学研究室,RAPID,EXPR,Σ,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有機分子の作り方を研究する研究室。,,asserted,labs.json#sample-lab-f0e46eb2cbf5:sections.research_summary,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有,0.6,,,,,,
lab,sample-lab-f0e46eb2cbf5,有機合成化学研究室,RAPID,EXPR,IS,ホウ素,,asserted,labs.json#sample-lab-f0e46eb2cbf5:sections.research_summary,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有,0.6,,,,,,
lab,sample-lab-f0e46eb2cbf5,有機合成化学研究室,RAPID,EXPR,IS,複数の結合を一度に組み替える反応や,,asserted,labs.json#sample-lab-f0e46eb2cbf5:sections.research_summary,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有,0.6,,,,,,
lab,sample-lab-f0e46eb2cbf5,有機合成化学研究室,RAPID,EXPR,Q,炭素以外の元素を反応に組み込むと、従来は難しかった結合をなぜ作れるのか？,,asserted,labs.json#sample-lab-f0e46eb2cbf5:researchQuestions,炭素以外の元素を反応に組み込むと、従来は難しかった結合をなぜ,0.6,,,,,,
lab,sample-lab-f0e46eb2cbf5,有機合成化学研究室,RAPID,EXPR,Q,複数の結合を一つの反応で組み替えると、複雑な有機分子をどのように短い工程で作れるのか？,,asserted,labs.json#sample-lab-f0e46eb2cbf5:researchQuestions,炭素以外の元素を反応に組み込むと、従来は難しかった結合をなぜ,0.6,,,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,Σ,数、図形、論理、計算、確率などを、観察や実験ではなく、定義・記号・基本ルールによって研究する学問群。,,asserted,fields.json#sample-field-d0929ad7a3a1:beginnerDescription,数、図形、論理、計算、確率などを、観察や実験ではなく、定義・,0.76,追加証拠で、この要約主題が対象全体を表さないことが確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,IS,記号体系,,asserted,fields.json#sample-field-d0929ad7a3a1:researchObjects,記号体系 / 公理 / 数学的構造 / アルゴリズム / 確,0.72,公式説明または本文証拠で、この対象を扱っていないことが確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,IS,公理,,asserted,fields.json#sample-field-d0929ad7a3a1:researchObjects,記号体系 / 公理 / 数学的構造 / アルゴリズム / 確,0.72,公式説明または本文証拠で、この対象を扱っていないことが確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,IS,数学的構造,,asserted,fields.json#sample-field-d0929ad7a3a1:researchObjects,記号体系 / 公理 / 数学的構造 / アルゴリズム / 確,0.72,公式説明または本文証拠で、この対象を扱っていないことが確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,Q,記号と基本ルールから、どのような結論を正しく導けるのか？,,asserted,fields.json#sample-field-d0929ad7a3a1:questions,記号と基本ルールから、どのような結論を正しく導けるのか？ /,0.78,追加の公式説明で、この問いが当該資源の扱う問いではないと確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,Q,異なる数学的対象を、同じ形式や構造として扱えるのはどのような場合か？,,asserted,fields.json#sample-field-d0929ad7a3a1:questions,記号と基本ルールから、どのような結論を正しく導けるのか？ /,0.78,追加の公式説明で、この問いが当該資源の扱う問いではないと確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,M,定義,定義,asserted,fields.json#sample-field-d0929ad7a3a1:methods,定義 / 公理化 / 演繹的証明 / 形式化 / 数理モデル,0.7,公式説明または本文証拠で、この方法を用いていないことが確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,M,公理化,公理化,asserted,fields.json#sample-field-d0929ad7a3a1:methods,定義 / 公理化 / 演繹的証明 / 形式化 / 数理モデル,0.7,公式説明または本文証拠で、この方法を用いていないことが確認される。,G1|G7,,,,
field,sample-field-d0929ad7a3a1,形式科学,FULL,CORE,SC,界,,hypothesis,,,0.4,,G1|G7,,,,
