candidate_term,surface例,entity_count,sourceType,proposed_controlled,proposed_relation,ambiguity,recommendation,evidence_examples,reviewStatus,note
磁性材料の複雑な性質を計算に取り入れると、電気機器の損失や性能をどこまで正確に予測できるのか？,磁性材料の複雑な性質を計算に取り入れると、電気機器の損失や性能をどこまで正確に予測できるのか？,1,lab,,redundant_question,low,reject,モータや変圧器の内部では、電気と磁気の作用がどのように力や熱,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
社会システムに関する和文誌,社会システムに関する和文誌,1,journal,,isolated_term,low,needs_review,エネルギー・資源学会系の、エネルギー、資源、環境、社会システ,pending,単発出現のため採否保留
社会・生命現象などのデータから,社会・生命現象などのデータから,1,lab,,isolated_term,low,needs_review,脳や人の行動、社会・生命現象などのデータから、観測できない内,pending,単発出現のため採否保留
社会人類学,社会人類学,1,society,,isolated_term,low,needs_review,人類学に関する国際的な主要学会。文化人類学、社会人類学、言語,pending,単発出現のため採否保留
神経障害性疼痛,神経障害性疼痛,1,journal,,isolated_term,low,needs_review,疼痛医学を扱う国際誌。慢性疼痛、神経障害性疼痛、薬物療法、介,pending,単発出現のため採否保留
穴の数やつながり方を使うと、空間をどのように分類できるのか？,穴の数やつながり方を使うと、空間をどのように分類できるのか？,1,field,,redundant_question,low,reject,図形を切らずに変形するとき、変わらずに残る性質は何か？ / ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
空気と水から反応性の高い物質を作り,空気と水から反応性の高い物質を作り,1,lab,,isolated_term,low,needs_review,空気中で発生させたプラズマを水などの液体に接触させ、その境界,pending,単発出現のため採否保留
空気中で発生させたプラズマを水などの液体に接触させ、その境界で短時間に起こる化学反応を研究する研究室。,空気中で発生させたプラズマを水などの液体に接触させ、その境界で短時間に起こる化学反応を研究する研究室。,1,lab,,sentence_fragment,low,reject,空気中で発生させたプラズマを水などの液体に接触させ、その境界,pending,文章断片は統制語候補にしない
粒子と力をすべて同じ基本的なひもの振動として説明することは可能か？,粒子と力をすべて同じ基本的なひもの振動として説明することは可能か？,1,field,,redundant_question,low,reject,粒子と力をすべて同じ基本的なひもの振動として説明することは可,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
素粒子を点ではなく微小なひもとして捉え、重力を含むすべての力を統一しようとする理論と、粒子間の新しい対称性を研究する分野。,素粒子を点ではなく微小なひもとして捉え、重力を含むすべての力を統一しようとする理論と、粒子間の新しい対称性を研究する分野。,1,field,,sentence_fragment,low,reject,素粒子を点ではなく微小なひもとして捉え、重力を含むすべての力,pending,文章断片は統制語候補にしない
細胞が周囲の硬さや力をどのように感じ,細胞が周囲の硬さや力をどのように感じ,1,lab,,isolated_term,low,needs_review,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,pending,単発出現のため採否保留
細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変えるのかを研究する研究室。,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変えるのかを研究する研究室。,1,lab,,sentence_fragment,low,reject,細胞が周囲の硬さや力をどのように感じ、形や動き、働きを変える,pending,文章断片は統制語候補にしない
細胞は周囲から受ける力を、どのように感じ取って形や動きを変えるのか？,細胞は周囲から受ける力を、どのように感じ取って形や動きを変えるのか？,1,lab,,redundant_question,low,reject,細胞は周囲から受ける力を、どのように感じ取って形や動きを変え,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
細胞や分子に働く非常に小さな力を、細胞を壊さずに測るにはどのような技術が必要なのか？,細胞や分子に働く非常に小さな力を、細胞を壊さずに測るにはどのような技術が必要なのか？,1,lab,,redundant_question,low,reject,細胞は周囲から受ける力を、どのように感じ取って形や動きを変え,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
細菌やウイルスの不活化,細菌やウイルスの不活化,1,lab,,isolated_term,low,needs_review,空気中で発生させたプラズマを水などの液体に接触させ、その境界,pending,単発出現のため採否保留
結晶中の電子や原子の動きを研究し、電気を通す物質、通さない物質、その中間である半導体の性質を明らかにする分野。,結晶中の電子や原子の動きを研究し、電気を通す物質、通さない物質、その中間である半導体の性質を明らかにする分野。,1,field,,sentence_fragment,low,reject,結晶中の電子や原子の動きを研究し、電気を通す物質、通さない物,pending,文章断片は統制語候補にしない
結晶格子,結晶格子,1,field,,isolated_term,low,needs_review,結晶格子 / 電子バンド / 正孔 / フォノン / 不純物,pending,単発出現のため採否保留
綱,綱,1,field,,isolated_term,low,needs_review,,pending,単発出現のため採否保留
群,群,1,field,,isolated_term,low,needs_review,群 / 環 / リー群 / リー環 / 加群 / 表現 / ,pending,単発出現のため採否保留
群や環などの抽象的な代数構造を、行列やベクトル空間上の変換として研究する分野。,群や環などの抽象的な代数構造を、行列やベクトル空間上の変換として研究する分野。,1,field,,sentence_fragment,low,reject,群や環などの抽象的な代数構造を、行列やベクトル空間上の変換と,pending,文章断片は統制語候補にしない
脂質異常症,脂質異常症,1,society,,isolated_term,low,needs_review,動脈硬化と脂質代謝に関する国内学会。脂質異常症、血管炎症、プ,pending,単発出現のため採否保留
脳の血管の形が人によって異なると、血液の流れや血管壁への力はどう変わるのか？,脳の血管の形が人によって異なると、血液の流れや血管壁への力はどう変わるのか？,1,lab,,redundant_question,low,reject,脳の血管の形が人によって異なると、血液の流れや血管壁への力は,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
脳や人の行動,脳や人の行動,1,lab,,isolated_term,low,needs_review,脳や人の行動、社会・生命現象などのデータから、観測できない内,pending,単発出現のため採否保留
脳や人の行動、社会・生命現象などのデータから、観測できない内部状態や原因を確率的に推定する研究室。,脳や人の行動、社会・生命現象などのデータから、観測できない内部状態や原因を確率的に推定する研究室。,1,lab,,sentence_fragment,low,reject,脳や人の行動、社会・生命現象などのデータから、観測できない内,pending,文章断片は統制語候補にしない
腎臓病は、糸球体、尿細管、免疫、血圧、代謝異常によってどのように発症・進行するのか？,腎臓病は、糸球体、尿細管、免疫、血圧、代謝異常によってどのように発症・進行するのか？,1,journal,,redundant_question,low,reject,腎臓病は、糸球体、尿細管、免疫、血圧、代謝異常によってどのよ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
腎臓病学の基礎・臨床研究を扱う国際誌,腎臓病学の基礎・臨床研究を扱う国際誌,1,journal,,isolated_term,low,needs_review,日本腎臓学会が関わる、腎臓病学の基礎・臨床研究を扱う国際誌。,pending,単発出現のため採否保留
臨床研究、症例、治療評価を通じて、疼痛管理の安全性と有効性をどう高められるのか？,臨床研究、症例、治療評価を通じて、疼痛管理の安全性と有効性をどう高められるのか？,1,journal,,redundant_question,low,reject,疼痛診療では、薬物、神経ブロック、心理、リハビリをどのように,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
臨床研究、腎病理、実験研究を組み合わせて、腎疾患の診断・治療・予後管理をどう改善できるのか？,臨床研究、腎病理、実験研究を組み合わせて、腎疾患の診断・治療・予後管理をどう改善できるのか？,1,journal,,redundant_question,low,reject,腎臓病は、糸球体、尿細管、免疫、血圧、代謝異常によってどのよ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
臨床腫瘍学に関する国内学会,臨床腫瘍学に関する国内学会,1,society,,isolated_term,low,needs_review,臨床腫瘍学に関する国内学会。がん薬物療法、臨床試験、分子標的,pending,単発出現のため採否保留
臨床腫瘍学に関する国内学会。,臨床腫瘍学に関する国内学会。,1,society,,sentence_fragment,low,reject,臨床腫瘍学に関する国内学会。がん薬物療法、臨床試験、分子標的,pending,文章断片は統制語候補にしない
臨床腫瘍学を扱うThe,臨床腫瘍学を扱うThe,1,journal,,isolated_term,low,needs_review,臨床腫瘍学を扱うThe Lancet系の国際主要誌。がん臨床,pending,単発出現のため採否保留
臨床腫瘍学を扱うThe Lancet系の国際主要誌。,臨床腫瘍学を扱うThe Lancet系の国際主要誌。,1,journal,,sentence_fragment,low,reject,臨床腫瘍学を扱うThe Lancet系の国際主要誌。がん臨床,pending,文章断片は統制語候補にしない
臨床腫瘍学を進めるには、薬物療法、バイオマーカー、臨床試験、副作用管理、患者支援をどう組み合わせる必要があるのか？,臨床腫瘍学を進めるには、薬物療法、バイオマーカー、臨床試験、副作用管理、患者支援をどう組み合わせる必要があるのか？,1,society,,redundant_question,low,reject,がん薬物療法は、腫瘍の遺伝子、病期、患者状態、副作用、治療目,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
臨床試験,臨床試験,1,society,,isolated_term,low,needs_review,臨床腫瘍学に関する国内学会。がん薬物療法、臨床試験、分子標的,pending,単発出現のため採否保留
薬剤疫学では、医療データから薬の安全性や有効性を評価するために、交絡、バイアス、因果関係をどう扱う必要があるのか？,薬剤疫学では、医療データから薬の安全性や有効性を評価するために、交絡、バイアス、因果関係をどう扱う必要があるのか？,1,society,,redundant_question,low,reject,実際の医療現場で使われる薬は、集団の中でどのような効果や副作,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
薬剤疫学に関する国内学会,薬剤疫学に関する国内学会,1,society,,isolated_term,low,needs_review,薬剤疫学に関する国内学会。医薬品の有効性、安全性、使用実態、,pending,単発出現のため採否保留
薬剤疫学に関する国内学会。,薬剤疫学に関する国内学会。,1,society,,sentence_fragment,low,reject,薬剤疫学に関する国内学会。医薬品の有効性、安全性、使用実態、,pending,文章断片は統制語候補にしない
血液や脳脊髄液など,血液や脳脊髄液など,1,lab,,isolated_term,low,needs_review,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、,pending,単発出現のため採否保留
血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、病気との関係を研究する研究室。,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、病気との関係を研究する研究室。,1,lab,,sentence_fragment,low,reject,血液や脳脊髄液など、人体内部の流れをコンピュータ上で再現し、,pending,文章断片は統制語候補にしない
血管の中で脂質、炎症、内皮障害が重なると、動脈硬化はどのように進行するのか？,血管の中で脂質、炎症、内皮障害が重なると、動脈硬化はどのように進行するのか？,1,society,,redundant_question,low,reject,血管の中で脂質、炎症、内皮障害が重なると、動脈硬化はどのよう,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
血管炎症,血管炎症,1,society,,isolated_term,low,needs_review,動脈硬化と脂質代謝に関する国内学会。脂質異常症、血管炎症、プ,pending,単発出現のため採否保留
複数の結合を一つの反応で組み替えると、複雑な有機分子をどのように短い工程で作れるのか？,複数の結合を一つの反応で組み替えると、複雑な有機分子をどのように短い工程で作れるのか？,1,lab,,redundant_question,low,reject,炭素以外の元素を反応に組み込むと、従来は難しかった結合をなぜ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
複数の結合を一度に組み替える反応や,複数の結合を一度に組み替える反応や,1,lab,,isolated_term,low,needs_review,ホウ素、ケイ素など炭素以外の元素が持つ特徴を利用し、新しい有,pending,単発出現のため採否保留
複数の要素が相互作用するシステムは、どのようにモデル化すれば全体の振る舞いを理解できるのか？,複数の要素が相互作用するシステムは、どのようにモデル化すれば全体の振る舞いを理解できるのか？,1,society,,redundant_question,low,reject,複数の要素が相互作用するシステムは、どのようにモデル化すれば,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
複雑なシステムを望ましい状態へ動かすには、制御、情報処理、最適化、知能化をどのように組み合わせればよいのか？,複雑なシステムを望ましい状態へ動かすには、制御、情報処理、最適化、知能化をどのように組み合わせればよいのか？,1,society,,redundant_question,low,reject,複数の要素が相互作用するシステムは、どのようにモデル化すれば,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
複雑な対象をシステムとしてモデル化し、その状態や振る舞いをどのように解析・制御できるのか？,複雑な対象をシステムとしてモデル化し、その状態や振る舞いをどのように解析・制御できるのか？,1,journal,,redundant_question,low,reject,複雑な対象をシステムとしてモデル化し、その状態や振る舞いをど,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
複雑な対象をモデル化し,複雑な対象をモデル化し,1,society,,isolated_term,low,needs_review,システム、制御、情報、計測、最適化、知能情報処理などを横断的,pending,単発出現のため採否保留
複雑な表現を基本的な成分へ分けると、元の対称性をどう理解できるのか？,複雑な表現を基本的な成分へ分けると、元の対称性をどう理解できるのか？,1,field,,redundant_question,low,reject,抽象的な対称性は、行列やベクトルの変換としてどのように表せる,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
観測、理論、モデル解析を通じて、大気現象と気候への影響をどう理解できるのか？,観測、理論、モデル解析を通じて、大気現象と気候への影響をどう理解できるのか？,1,journal,,redundant_question,low,reject,大気の構造や変動は、放射、雲、化学反応、循環、地表面との相互,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
観測された行動や信号から、直接見えない内部状態をどのように推定するのか？,観測された行動や信号から、直接見えない内部状態をどのように推定するのか？,1,lab,,redundant_question,low,reject,観測された行動や信号から、直接見えない内部状態をどのように推,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
解説、研究、実践報告を通じて、脱炭素、資源循環、エネルギー政策をどう考えられるのか？,解説、研究、実践報告を通じて、脱炭素、資源循環、エネルギー政策をどう考えられるのか？,1,journal,,redundant_question,low,reject,エネルギーと資源の利用は、技術、経済、環境、政策の中でどのよ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
計算とは何か、問題を効率よく解くには何が必要かを数学的に研究する学問群。,計算とは何か、問題を効率よく解くには何が必要かを数学的に研究する学問群。,1,field,,sentence_fragment,low,reject,計算とは何か、問題を効率よく解くには何が必要かを数学的に研究,pending,文章断片は統制語候補にしない
計算モデル,計算モデル,1,field,,isolated_term,low,needs_review,計算問題 / アルゴリズム / 計算モデル / 言語 / 証,pending,単発出現のため採否保留
計算問題,計算問題,1,field,,isolated_term,low,needs_review,計算問題 / アルゴリズム / 計算モデル / 言語 / 証,pending,単発出現のため採否保留
計算機システムは、ハードウェア、OS、プログラム、データ、ネットワークをどのように組み合わせて動いているのか？,計算機システムは、ハードウェア、OS、プログラム、データ、ネットワークをどのように組み合わせて動いているのか？,1,society,,redundant_question,low,reject,計算機システムは、ハードウェア、OS、プログラム、データ、ネ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
計算機科学に関する国際的な主要学会組織。,計算機科学に関する国際的な主要学会組織。,1,society,,sentence_fragment,low,reject,計算機科学に関する国際的な主要学会組織。ソフトウェア、データ,pending,文章断片は統制語候補にしない
計算機科学を発展させるには、アルゴリズム、システム、ソフトウェア、データ管理、ユーザーとの関係をどのように結びつける必要があるのか？,計算機科学を発展させるには、アルゴリズム、システム、ソフトウェア、データ管理、ユーザーとの関係をどのように結びつける必要があるのか？,1,society,,redundant_question,low,reject,計算機システムは、ハードウェア、OS、プログラム、データ、ネ,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
記号と基本ルールから、どのような結論を正しく導けるのか？,記号と基本ルールから、どのような結論を正しく導けるのか？,1,field,,redundant_question,low,reject,記号と基本ルールから、どのような結論を正しく導けるのか？ /,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
記号体系,記号体系,1,field,,isolated_term,low,needs_review,記号体系 / 公理 / 数学的構造 / アルゴリズム / 確,pending,単発出現のため採否保留
軌道,軌道,1,field,,isolated_term,low,needs_review,状態空間 / 軌道 / 固定点 / 周期軌道 / アトラクタ,pending,単発出現のため採否保留
連続写像,連続写像,1,field,,isolated_term,low,needs_review,位相空間 / 連続写像 / 同相 / コンパクト性 / 連結,pending,単発出現のため採否保留
週刊相当,週刊相当,1,journal,,isolated_term,low,needs_review,,pending,単発出現のため採否保留
道路の渋滞,道路の渋滞,1,lab,,isolated_term,low,needs_review,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,pending,単発出現のため採否保留
道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動くことで生じる詰まりや流れを数理モデルから研究する研究室。,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動くことで生じる詰まりや流れを数理モデルから研究する研究室。,1,lab,,sentence_fragment,low,reject,道路の渋滞、人の混雑、物流、生物の集団など、多数の要素が動く,pending,文章断片は統制語候補にしない
鉱山安全,鉱山安全,1,society,,isolated_term,low,needs_review,鉱業・冶金・資源探査に関する国際的な専門組織。採鉱、選鉱、鉱,pending,単発出現のため採否保留
鉱業を持続可能に行うには、資源評価、採掘技術、安全、環境対策、経済性をどう組み合わせる必要があるのか？,鉱業を持続可能に行うには、資源評価、採掘技術、安全、環境対策、経済性をどう組み合わせる必要があるのか？,1,society,,redundant_question,low,reject,鉱物資源は、地質、探査、採鉱、選鉱、環境条件によってどのよう,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
鉱業・冶金・資源探査に関する国際的な専門組織。,鉱業・冶金・資源探査に関する国際的な専門組織。,1,society,,sentence_fragment,low,reject,鉱業・冶金・資源探査に関する国際的な専門組織。採鉱、選鉱、鉱,pending,文章断片は統制語候補にしない
鉱物資源,鉱物資源,1,society,,isolated_term,low,needs_review,鉱業・冶金・資源探査に関する国際的な専門組織。採鉱、選鉱、鉱,pending,単発出現のため採否保留
鉱物資源は、地質、探査、採鉱、選鉱、環境条件によってどのように開発されるのか？,鉱物資源は、地質、探査、採鉱、選鉱、環境条件によってどのように開発されるのか？,1,society,,redundant_question,low,reject,鉱物資源は、地質、探査、採鉱、選鉱、環境条件によってどのよう,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
門,門,1,field,,isolated_term,low,needs_review,,pending,単発出現のため採否保留
関連性,関連性,1,field,,isolated_term,low,needs_review,多値真理 / 矛盾 / 関連性 / 資源 / 曖昧さ / 非,pending,単発出現のため採否保留
電子が同じ物質中にあるのに、電気を通す場合と通さない場合が生じるのはなぜか？,電子が同じ物質中にあるのに、電気を通す場合と通さない場合が生じるのはなぜか？,1,field,,redundant_question,low,reject,電子が同じ物質中にあるのに、電気を通す場合と通さない場合が生,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
電子バンド,電子バンド,1,field,,isolated_term,low,needs_review,結晶格子 / 電子バンド / 正孔 / フォノン / 不純物,pending,単発出現のため採否保留
電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が現れるのか？,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が現れるのか？,1,lab,,redundant_question,low,reject,電子同士が強く影響し合うと、なぜ超伝導や通常とは異なる磁性が,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
電子同士が強く影響し合う物質で,電子同士が強く影響し合う物質で,1,lab,,isolated_term,low,needs_review,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,pending,単発出現のため採否保留
電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊な磁性、物質の表面に特徴的な電子状態が現れる仕組みを、理論と数理モデルから研究する研究室。,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊な磁性、物質の表面に特徴的な電子状態が現れる仕組みを、理論と数理モデルから研究する研究室。,1,lab,,sentence_fragment,low,reject,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,pending,文章断片は統制語候補にしない
電気抵抗が消える超伝導や特殊な磁性,電気抵抗が消える超伝導や特殊な磁性,1,lab,,isolated_term,low,needs_review,電子同士が強く影響し合う物質で、電気抵抗が消える超伝導や特殊,pending,単発出現のため採否保留
高感度な顕微鏡や分光技術で測る研究室,高感度な顕微鏡や分光技術で測る研究室,1,lab,,isolated_term,low,needs_review,一つの分子やナノ材料が光を吸収・放出する様子を、高感度な顕微,pending,単発出現のため採否保留
高水準の臨床研究、レビュー、政策論文を通じて、がん治療とがん対策の方向性をどう示せるのか？,高水準の臨床研究、レビュー、政策論文を通じて、がん治療とがん対策の方向性をどう示せるのか？,1,journal,,redundant_question,low,reject,がん医療は、臨床試験、医療制度、地域差、政策、患者アウトカム,pending,問い文はQタグsurfaceとして保持し、統制語にはしない
